embedding,model,accuracy,macro_f1,seed
bow,nb,0.8225,0.820424783909049,42
bow,logreg,0.81,0.8091938439908614,42
tfidf,nb,0.84,0.8388355871169197,42
tfidf,logreg,0.85,0.849624060150376,42
word2vec,nb,0.62,0.6186270574066639,42
word2vec,logreg,0.68,0.6798719487795117,42
glove,nb,0.6925,0.6895487730235552,42
glove,logreg,0.77,0.7683261564805721,42
tfidf,nb,0.7825,0.7718820732840637,42
bow,nb,0.7575,0.7563791455951858,42
word2vec,nb,0.5075,0.4629389129389129,42
glove,nb,0.6875,0.5868687553395145,42
